AccelerationX;AccelerationY;AccelerationZ;GyroscopeX;GyroscopeY;GyroscopeZ;Latitude;Longitude;Velocity;Altitude;Position;Hours;Minutes;Seconds;Date
-0,037740;0,009350;1,005620;-0,310720;-0,076890;0,238390;45,085692;14,156802;2,222400;158,200000;57,600000;10;45;24,410;06/01/2021
-0,037530;0,009190;1,005670;-0,311630;-0,080110;0,271460;45,085693;14,156803;2,407600;158,000000;56,600000;10;45;24,664;06/01/2021
-0,037640;0,009280;1,005820;-0,308480;-0,077450;0,289190;45,085695;14,156803;2,592800;157,900000;54,900000;10;45;24,921;06/01/2021
-0,037350;0,009240;1,005670;-0,318380;-0,085130;0,294980;45,085695;14,156803;2,222400;157,800000;59,400000;10;45;25,177;06/01/2021
-0,037960;0,009230;1,006400;-0,313380;-0,073680;0,274750;45,085697;14,156803;2,222400;157,700000;56,200000;10;45;25,433;06/01/2021
-0,037480;0,009250;1,005500;-0,306570;-0,065570;0,249980;45,085698;14,156803;2,037200;157,700000;52,700000;10;45;25,689;06/01/2021
-0,037460;0,009320;1,006170;-0,315910;-0,076800;0,279900;45,085698;14,156803;2,037200;157,600000;57,500000;10;45;25,945;06/01/2021
-0,037570;0,009310;1,005380;-0,310190;-0,068330;0,237860;45,085698;14,156803;2,222400;157,700000;56,300000;10;45;26,201;06/01/2021
-0,037640;0,009280;1,005600;-0,302610;-0,087640;0,244310;45,085702;14,156805;2,407600;157,600000;52,900000;10;45;26,458;06/01/2021
-0,037520;0,009460;1,005440;-0,299770;-0,075930;0,262780;45,085702;14,156805;2,407600;157,700000;50,900000;10;45;26,713;06/01/2021
-0,037660;0,009290;1,005560;-0,313760;-0,082450;0,204580;45,085702;14,156805;2,407600;157,700000;46,300000;10;45;26,969;06/01/2021
-0,037700;0,009350;1,005850;-0,305750;-0,067260;0,251980;45,085703;14,156805;2,407600;157,700000;46,200000;10;45;27,225;06/01/2021
-0,037600;0,009110;1,005550;-0,308350;-0,069980;0,281020;45,085705;14,156805;2,407600;157,700000;44,400000;10;45;27,482;06/01/2021
-0,037340;0,009510;1,005840;-0,313260;-0,075760;0,181190;45,085705;14,156805;2,407600;157,700000;44,500000;10;45;27,737;06/01/2021
-0,037550;0,009310;1,005480;-0,319650;-0,077890;0,254470;45,085707;14,156803;2,222400;157,800000;39,700000;10;45;27,993;06/01/2021
-0,037600;0,009130;1,006130;-0,318130;-0,066390;0,221120;45,085707;14,156803;1,852000;157,700000;41,800000;10;45;28,249;06/01/2021
-0,037920;0,009240;1,005870;-0,312590;-0,063670;0,256220;45,085708;14,156802;1,666800;157,900000;35,700000;10;45;28,505;06/01/2021
-0,037550;0,009340;1,006080;-0,314020;-0,074940;0,248450;45,085710;14,156802;1,852000;157,800000;40,000000;10;45;28,761;06/01/2021
-0,037380;0,009270;1,005530;-0,302410;-0,071320;0,235990;45,085710;14,156802;1,852000;157,800000;38,900000;10;45;29,018;06/01/2021
-0,037610;0,009470;1,005660;-0,314370;-0,082190;0,276490;45,085710;14,156802;1,852000;157,700000;35,100000;10;45;29,273;06/01/2021
